year,cases,filter,states_with_cases,outbreaks_n,outbreaks_cases,outbreaks_range
1985,2822,1985-Present*,41,,,
1986,6255,1985-Present*,48,,,
1987,3652,1985-Present*,42,,,
1988,3410,1985-Present*,37,,,
1989,17914,1985-Present*,50,,,
1990,27808,1985-Present*,52,,,
1991,9643,1985-Present*,43,,,
1992,2126,1985-Present*,34,,,
1993,312,1985-Present*,30,,,
1994,899,1985-Present*,36,,,
1995,308,1985-Present*,26,,,
1996,492,1985-Present*,37,,,
1997,141,1985-Present*,31,,,
1998,100,1985-Present*,22,,,
1999,99,1985-Present*,20,,,
2000,85,1985-Present*,21,13,52,1 to 7 cases
2001,116,1985-Present*,23,10,57,2 to 14 cases
2002,44,1985-Present*,18,3,19,3 to 13 cases
2003,56,1985-Present*,16,3,27,3 to 13 cases
2004,37,1985-Present*,15,2,13,3 to 10 cases
2005,66,1985-Present*,17,3,40,3 to 34 cases
2006,55,1985-Present*,17,4,27,3 to 18 cases
2007,43,1985-Present*,16,4,18,3 to 7 cases
2008,140,1985-Present*,21,7,104,4 to 30 cases
2009,72,1985-Present*,18,8,48,3 to 15 cases
2010,63,1985-Present*,18,4,14,3 to 4 cases
2011,220,1985-Present*,32,15,107,3 to 21 cases
2012,55,1985-Present*,18,4,27,3 to 14 cases
2013,187,1985-Present*,20,11,141,1 to 59 cases
2014,667,1985-Present*,29,23,594,1 to 383 cases
2015,191,1985-Present*,26,5,149,1 to 113 cases
2016,86,1985-Present*,19,4,63,6 to 32 cases
2017,120,1985-Present*,17,6,99,3 to 75 cases
2018,381,1985-Present*,28,17,320,1 to 124 cases
2019,1274,1985-Present*,32,25,1180,3 to 641 cases
2020,13,1985-Present*,8,1,5,5 to 5 cases
2021,49,1985-Present*,5,3,43,9 to 22 cases
2022,121,1985-Present*,6,5,110,4 to 86 cases
2023,59,1985-Present*,20,4,29,5 to 10 cases
2024,285,1985-Present*,33,16,198,3 to 58 cases
2025,1514,1985-Present*,44,41,1307,1 to 853 cases
2000,85,2000-Present*,21,13,52,1 to 7 cases
2001,116,2000-Present*,23,10,57,2 to 14 cases
2002,44,2000-Present*,18,3,19,3 to 13 cases
2003,56,2000-Present*,16,3,27,3 to 13 cases
2004,37,2000-Present*,15,2,13,3 to 10 cases
2005,66,2000-Present*,17,3,40,3 to 34 cases
2006,55,2000-Present*,17,4,27,3 to 18 cases
2007,43,2000-Present*,16,4,18,3 to 7 cases
2008,140,2000-Present*,21,7,104,4 to 30 cases
2009,72,2000-Present*,18,8,48,3 to 15 cases
2010,63,2000-Present*,18,4,14,3 to 4 cases
2011,220,2000-Present*,32,15,107,3 to 21 cases
2012,55,2000-Present*,18,4,27,3 to 14 cases
2013,187,2000-Present*,20,11,141,1 to 59 cases
2014,667,2000-Present*,29,23,594,1 to 383 cases
2015,191,2000-Present*,26,5,149,1 to 113 cases
2016,86,2000-Present*,19,4,63,6 to 32 cases
2017,120,2000-Present*,17,6,99,3 to 75 cases
2018,381,2000-Present*,28,17,320,1 to 124 cases
2019,1274,2000-Present*,32,25,1180,3 to 641 cases
2020,13,2000-Present*,8,1,5,5 to 5 cases
2021,49,2000-Present*,5,3,43,9 to 22 cases
2022,121,2000-Present*,6,5,110,4 to 86 cases
2023,59,2000-Present*,20,4,29,5 to 10 cases
2024,285,2000-Present*,33,16,198,3 to 58 cases
2025,1514,2000-Present*,44,41,1307,1 to 853 cases
